spec,longitude,latitude
Urocyon cinereoargenteus,-94.2286747276,34.2903930645
Urocyon cinereoargenteus,-107.5172817194,31.6016262574
Urocyon cinereoargenteus,-112.6937872925,33.9326022122
Urocyon cinereoargenteus,-100.0615443576,21.2465530648
Urocyon cinereoargenteus,-83.0011832605,30.1567810378
Urocyon cinereoargenteus,-122.9299,39.7623366667
Urocyon cinereoargenteus,-97.0771617418,17.9024855503
Urocyon cinereoargenteus,-97.1936856993,16.3992559975
Urocyon cinereoargenteus,-98.8202311099,30.1890542867
Urocyon cinereoargenteus,-81.55307,26.176555
Urocyon cinereoargenteus,-85.403725,32.6126583333
Urocyon cinereoargenteus,-98.0547790527,18.8275318146
Urocyon cinereoargenteus,-105.1969718,32.8910048997
Urocyon cinereoargenteus,-115.956465442,33.6336122407
Urocyon cinereoargenteus,-76.3290902283,34.8329502987
Urocyon cinereoargenteus,-104.1239330732,19.3127253178
Urocyon cinereoargenteus,-78.6421193997,35.9441405
Urocyon cinereoargenteus,-120.502755,39.6849666688
Urocyon cinereoargenteus,-97.6299877548,30.7975095607
Urocyon cinereoargenteus,-101.583691,26.736429
Urocyon cinereoargenteus,-119.0109027833,36.6970833333
Urocyon cinereoargenteus,-72.6289846287,44.7524215768
Urocyon cinereoargenteus,-76.3095333333,36.8677783333
Urocyon cinereoargenteus,-92.0148305166,46.8381429715
Urocyon cinereoargenteus,-77.1396805556,41.7538527778
Urocyon cinereoargenteus,-108.9218490684,25.511237832
Urocyon cinereoargenteus,-118.8069423645,34.8333972115
Urocyon cinereoargenteus,-81.4916616667,39.4331166667
Urocyon cinereoargenteus,-93.0191306166,45.1388258715
Urocyon cinereoargenteus,-98.3628354593,23.6885421169
Urocyon cinereoargenteus,-100.3230553865,26.0494439575
Urocyon cinereoargenteus,-123.4023660486,40.9240418312
Urocyon cinereoargenteus,-97.8139883333,32.24803
Urocyon cinereoargenteus,-98.7785653939,29.6501778734
Urocyon cinereoargenteus,-79.8151305556,33.881225
Urocyon cinereoargenteus,-93.0318129841,44.8731336049
Urocyon cinereoargenteus,-79.9532494,36.5278317
Urocyon cinereoargenteus,-123.0255055,40.5913383333
Urocyon cinereoargenteus,-108.7173084801,37.3269041212
Urocyon cinereoargenteus,-104.9965153543,37.9653388313
